    12,     -8
    12,    -10
    10,    -11
     9,    -12
     8,    -12
     6,    -11
     4,    -13
     3,    -13
     2,    -13
     0,    -13
     0,    -13
    -1,    -14
    -5,    -13
    -8,    -12
    -9,    -11
    -9,    -10
   -10,     -8
   -10,     -7
   -11,     -6
   -12,     -5
   -14,     -4
   -14,     -2
   -13,      0
   -13,      1
   -12,      1
   -13,      3
   -14,      4
   -12,      5
   -11,      6
    -9,      7
    -9,      8
    -8,     10
    -7,     11
    -6,     12
    -4,     13
    -4,     13
    -3,     13
    -1,     14
     1,     14
     3,     14
     5,     13
     5,     11
     6,     10
     8,     11
     9,     11
    11,     11
    12,     10
    12,      8
    12,      6
    12,      3
    13,      1
    15,      1
    15,      1
    14,     -2
    13,     -4
    13,     -6
    12,     -6
    11,     -8
    11,    -10
    10,    -10
     8,    -10
     8,     -9
     7,    -11
     5,    -14
     3,    -14
     2,    -14
     0,    -14
    -2,    -13
    -4,    -13
    -5,    -13
    -7,    -12
    -7,    -12
    -8,    -11
    -9,    -10
   -10,    -10
   -12,     -8
   -13,     -5
   -13,     -3
   -12,     -3
   -13,     -1
   -14,      1
   -14,      1
   -13,      2
   -12,      3
   -12,      5
   -13,      6
   -12,      8
   -10,      9
    -9,     10
    -8,     11
    -6,     12
    -5,     13
    -4,     13
    -3,     13
    -2,     14
     1,     12
     1,     11
     3,     12
     4,     12
     5,     11
     8,      9
     9,     10
    10,     10
     9,      9
    11,      7
    13,      4
    12,      3
    13,      3
    14,      1
    13,      0
    12,     -2
    13,     -4
    14,     -6
    12,     -7
    10,     -7
    11,     -8
    10,    -10
     7,    -11
     7,    -11
     5,    -12
     4,    -13
     3,    -14
     2,    -13
     0,    -13
    -1,    -14
    -2,    -13
    -4,    -12
    -6,    -13
    -7,    -13
    -9,    -11
   -10,    -11
   -11,     -9
   -11,     -7
   -12,     -6
   -12,     -6
   -13,     -4
   -13,     -2
   -14,     -1
   -13,      0
   -13,      3
   -13,      5
   -12,      6
   -12,      6
   -11,      7
   -10,     10
    -8,      9
    -7,     11
    -7,     11
    -5,     13
    -4,     13
    -4,     13
    -2,     12
    -1,     12
     1,     13
     2,     11
     4,     11
     6,     13
     8,     12
     8,     10
     9,      9
    10,      8
    11,      6
    13,      5
    14,      4
    14,      3
    14,      2
    14,      0
    14,     -2
    14,     -4
    12,     -6
    11,     -7
     9,     -7
    10,     -9
    10,    -11
     8,    -12
     6,    -11
     5,    -12
     5,    -12
     3,    -13
     1,    -14
     0,    -13
    -1,    -13
    -3,    -13
    -5,    -13
    -6,    -13
    -6,    -12
    -7,    -11
    -9,    -10
   -11,     -9
   -12,     -7
   -12,     -6
   -11,     -4
   -12,     -3
   -15,     -2
   -14,     -1
   -14,      0
   -13,      1
   -13,      5
   -12,      7
   -12,      8
   -11,      7
   -10,      9
    -9,     10
    -8,     11
    -7,     11
    -5,     11
    -4,     12
    -3,     13
     1,     14
     1,     14
     2,     14
     3,     13
     4,     13
     6,     13
     6,     12
     6,     11
     8,     10
     9,      8
    11,      6
    13,      5
    13,      4
    14,      3
    15,      2
    15,     -1
    14,     -2
    13,     -3
    13,     -4
    12,     -5
    12,     -7
    12,     -8
    10,     -9
     9,    -10
     7,    -11
     6,    -12
     4,    -13
     4,    -12
     3,    -13
     0,    -13
    -1,    -14
    -1,    -13
    -3,    -13
    -4,    -13
    -7,    -13
    -8,    -12
    -9,    -11
   -10,    -12
   -10,     -9
   -10,     -7
   -11,     -5
   -13,     -5
   -14,     -2
   -14,      0
   -14,      1
   -14,      2
   -13,      3
   -12,      4
   -11,      6
   -11,      8
   -11,      8
   -10,      8
    -8,     10
    -5,     11
    -5,     12
    -4,     13
    -3,     14
    -2,     13
     0,     13
     1,     12
     2,     13
     4,     12
     5,     12
     7,     12
     8,     10
     8,      8
    11,      8
    12,      8
    12,      6
    12,      4
    13,      4
    12,      3
    13,      1
    13,     -1
    13,     -2
    14,     -3
    13,     -5
    13,     -7
    12,     -9
    11,    -11
     9,    -12
     8,    -12
     7,    -11
     4,    -13
     3,    -13
     3,    -13
     2,    -13
    -1,    -13
    -2,    -13
    -2,    -13
    -6,    -13
    -7,    -12
    -8,    -11
    -9,     -9
    -9,     -9
   -10,    -10
   -11,     -7
   -10,     -5
   -11,     -5
   -11,     -3
   -12,     -1
   -12,      0
   -12,      1
   -13,      3
   -13,      5
   -14,      5
   -13,      7
   -11,      7
   -10,      9
    -9,     11
    -7,     11
    -6,     11
    -5,     12
    -3,     13
    -2,     12
    -2,     13
     2,     13
     3,     13
     4,     11
     6,     11
     7,     10
     8,     10
    10,      9
    12,      9
    11,      8
    10,      6
    12,      5
    14,      4
    14,      2
    15,      0
    14,     -1
    13,     -3
    13,     -4
    12,     -4
    11,     -5
    11,     -6
    10,     -8
     9,    -10
     8,    -10
     5,    -12
     4,    -13
     4,    -14
     3,    -13
     1,    -12
     0,    -13
    -3,    -13
    -5,    -13
    -7,    -12
    -7,    -13
    -7,    -13
    -9,    -13
    -9,    -11
   -10,     -8
    -9,     -6
   -10,     -4
   -12,     -5
   -13,     -5
   -13,     -2
   -15,      0
   -14,      3
   -13,      5
   -13,      6
   -12,      7
   -13,      7
   -10,      9
    -9,     10
   -10,     10
    -9,     11
    -6,     12
    -5,     12
    -4,     12
    -3,     13
     0,     13
     2,     13
     2,     12
     2,     12
     5,     12
     6,     13
    10,     13
    11,     11
    11,      9
    13,      7
    13,      6
    12,      4
    13,      2
    15,      1
    14,      1
    13,     -1
    12,     -2
    11,     -4
    13,     -6
    12,     -7
    11,     -8
    10,     -8
    10,    -10
     9,    -12
     7,    -12
     8,    -13
     5,    -14
     3,    -15
    -1,    -14
    -1,    -13
    -2,    -14
    -3,    -15
    -4,    -13
    -6,    -12
    -7,    -11
    -8,    -11
   -10,    -11
   -11,     -9
   -13,     -8
   -13,     -7
   -14,     -5
   -13,     -4
   -12,     -3
   -12,      0
   -13,      0
   -12,      1
   -11,      4
   -12,      7
   -12,      9
   -11,      8
   -10,      8
    -8,      9
    -6,     11
    -6,     13
    -5,     14
    -4,     14
    -2,     13
    -1,     13
     0,     13
     3,     15
     4,     14
     5,     13
     5,     12
     6,     11
     8,      8
    10,      8
    11,      7
    12,      7
    12,      6
    12,      5
    13,      3
    13,      1
    14,      0
    13,     -2
    13,     -2
    12,     -4
    11,     -6
    12,     -7
    11,    -10
     9,    -12
     9,    -11
     7,    -11
     6,    -12
     5,    -13
     3,    -13
     0,    -13
    -1,    -13
    -1,    -14
    -4,    -14
    -5,    -11
    -7,    -11
    -8,    -12
    -9,    -10
   -10,     -9
   -10,     -9
   -11,     -6
   -11,     -5
   -12,     -4
   -13,     -3
   -13,     -1
   -14,     -1
   -14,      0
   -14,      3
   -14,      4
   -12,      5
   -12,      6
   -10,      8
   -10,     10
    -9,      9
    -7,      9
    -5,     11
    -5,     13
    -4,     13
    -2,     14
     0,     13
     1,     13
     3,     13
     4,     13
     5,     13
     6,     12
     7,     11
     9,     10
     9,      9
    11,      8
    11,      6
    12,      6
    13,      5
    12,      3
    12,      2
    13,      0
    12,     -1
    13,     -1
    13,     -3
    12,     -7
    10,     -7
    10,     -8
     9,    -10
     8,    -11
     7,    -11
     6,    -12
     5,    -13
     5,    -12
     2,    -12
     0,    -12
    -1,    -14
    -2,    -15
    -3,    -13
    -5,    -11
    -7,    -11
    -9,    -12
   -10,    -10
   -10,     -8
   -12,     -8
   -13,     -7
   -14,     -6
   -14,     -3
   -13,     -1
   -13,     -1
   -13,      0
   -12,      2
   -13,      3
   -13,      5
   -12,      7
   -12,      8
   -10,      8
    -8,      8
    -7,     11
    -6,     10
    -6,     11
    -4,     13
    -2,     14
    -1,     13
     1,     14
     3,     14
     5,     14
     5,     13
     5,     12
     7,     11
     9,     10
    11,      9
    11,      7
    11,      6
    14,      6
    14,      4
    14,      3
    13,      2
    13,      1
    13,     -2
    13,     -4
    12,     -5
    11,     -5
    11,     -6
    10,     -7
    10,    -10
     8,    -11
     6,    -10
     6,    -10
     5,    -12
     3,    -12
     2,    -14
     2,    -14
     0,    -13
    -3,    -13
    -3,    -13
    -6,    -12
    -8,    -13
    -9,    -11
    -9,    -11
   -10,    -10
   -11,     -7
   -12,     -6
   -12,     -4
   -13,     -4
   -14,     -2
   -14,      0
   -14,      0
   -13,      2
   -12,      3
   -12,      4
   -12,      7
   -12,      8
   -11,     10
   -10,     11
    -8,     11
    -7,     12
    -6,     12
    -5,     13
    -4,     15
    -2,     15
     0,     15
     2,     13
     2,     13
     4,     13
     5,     12
     7,     12
     8,     12
     9,      9
    10,      8
    10,      7
    12,      5
    12,      4
    11,      3
    10,      3
    10,      2
     9,      0
     8,      0
     7,     -1
     5,     -2
     3,     -2
     4,     -2
     4,     -1
     3,     -2
     3,     -3
     2,     -2
     1,     -2
     1,     -2
     1,     -3
     1,     -3
     0,     -2
    -1,     -3
     0,     -3
     0,     -4
    -1,     -3
    -1,     -3
    -1,     -2
    -2,     -2
    -2,     -1
    -3,     -1
    -3,     -1
    -3,     -3
    -3,     -3
    -3,     -1
    -3,      0
    -2,     -1
    -3,     -1
    -3,      0
    -3,      0
    -3,      1
    -2,      1
    -2,      1
    -3,      2
    -3,      2
    -2,      2
    -1,      2
    -2,      2
    -1,      2
     0,      2
     1,      3
     0,      1
    -1,      1
     0,      1
     1,      2
     1,      2
     1,      2
     2,      2
     2,      2
     2,      1
     2,      1
     2,      2
     3,      1
     2,      0
     2,      1
     2,      0
     2,      0
     2,      0
     2,     -1
     3,     -2
     3,     -2
     2,      0
     0,     -1
     0,     -1
     0,      0
    -1,      0
     0,     -1
     0,      0
     1,     -1
     0,      0
     0,      1
     1,      0
     0,      0
    -1,     -1
     0,     -1
     0,     -1
    -1,     -1
     0,      0
     0,      0
     0,      0
     0,      0
     0,      0
    -1,     -1
    -1,     -1
     0,     -1
     1,     -1
     0,     -1
     0,      0
    -1,     -1
    -1,      1
     1,      1
     0,      0
    -1,     -1
    -1,      0
    -1,      0
    -1,     -1
     0,      1
     1,      1
     0,      0
     0,      0
    -1,      0
    -1,      0
    -1,      1
     0,      1
     0,      0
     0,     -1
     0,      0
     0,     -1
    -1,     -3
     0,     -1
     0,     -1
     1,     -1
     0,     -1
    -1,      0
     0,      0
     0,     -1
     0,      0
     0,      0
    -1,      0
    -1,      0
     1,      0
     1,      0
     1,      0
     1,      1
     0,      0
     1,      0
     0,      1
     0,      0
     0,     -1
     0,     -1
     0,     -1
    -1,     -1
     0,      0
    -1,      1
     0,      0
     0,      1
     1,      1
     0,      1
     0,      1
    -1,      1
    -1,      0
     1,      1
     1,      0
     1,      0
     0,      0
     1,      0
     1,     -1
     0,      0
     0,      0
     0,      0
     1,      0
     1,      1
     1,      0
    -1,     -1
    -1,      0
     1,      0
     0,      0
     0,      0
     1,      2
     1,      2
     1,      0
     0,      1
     0,      1
     1,      1
    -1,      0
    -1,      0
    -1,     -1
     0,     -2
    -1,     -1
     0,      0
     2,     -1
    -1,      1
     0,      0
    -1,     -1
     0,      0
     1,      0
    -1,      2
     0,      2
     1,     -1
     0,     -1
    -1,     -1
    -1,     -1
     0,     -1
     1,     -1
     1,      0
     0,      0
    -1,     -2
    -1,     -1
     0,     -1
     1,      0
     1,      0
     0,      0
     0,      0
     0,      1
     0,      1
    -1,      0
     0,     -1
     2,     -1
     1,      0
     0,     -1
     0,     -1
     0,      0
     0,      0
     0,     -1
     0,      0
     0,      0
     0,     -1
     0,      0
     0,      0
    -1,      0
    -1,      1
     0,      1
     1,      0
     0,     -1
    -1,      0
    -1,      0
     0,      0
     1,      0
     1,      0
     0,      0
     0,      1
    -1,      1
     0,      0
     0,     -1
     1,      1
     1,      0
     0,      0
     0,      1
     0,      0
    -1,      0
    -1,     -1
    -1,     -1
    -1,     -1
     0,      0
     0,      0
     0,      0
    -1,     -1
    -1,      0
    -1,      0
    -1,      0
    -1,      0
     0,     -1
     1,      1
     0,      0
    -1,     -1
     1,      0
     2,     -1
     0,     -1
     0,      0
    -1,      0
     0,      1
     0,      0
     0,     -1
     0,     -1
     0,      0
     0,      1
     0,      1
     0,      0
    -1,     -1
     1,      0
     0,      0
     0,      0
     0,      0
    -1,      1
     0,      0
     0,      0
    -1,      1
     0,      0
    -1,      0
     0,      0
     0,     -1
     0,      0
     0,      1
    -1,      1
    -1,      0
     0,      0
     0,     -1
     0,     -1
     0,      0
    -1,      0
     0,      0
     1,      1
     1,      0
    -1,     -1
    -1,     -2
     0,     -2
     0,     -1
     0,     -1
     1,      1
     0,      1
     0,      0
     1,      0
     0,     -1
     0,      0
     1,      0
     2,      0
     1,      0
     1,      1
     0,      0
     0,      0
     0,      1
    -1,      1
    -1,      0
    -1,      0
     0,      0
     0,     -1
    -1,     -2
    -2,      0
    -1,      0
     0,      1
    -1,      1
    -2,      0
    -1,     -1
    -1,     -1
    -1,     -1
     0,     -1
     0,      0
    -1,      1
    -1,      1
     1,      0
     1,     -1
     0,     -2
     0,      0
     1,      1
     0,      1
     0,      0
     1,      0
     0,      0
     0,      0
     0,     -1
     0,      0
     0,      0
     1,     -1
     2,     -1
     1,     -1
     1,     -2
     1,     -2
     0,     -1
    -1,      0
     0,      0
     1,      1
     1,      1
     1,      0
     1,      0
     0,      1
     1,     -1
     1,     -1
     0,      0
     0,      0
    -1,      0
    -1,      0
     0,      0
     0,      0
     0,      0
     1,     -1
    -1,      0
    -1,      1
    -1,      1
     0,      0
    -1,      0
     0,     -1
     0,     -1
    -1,      0
    -1,      2
     0,      2
     1,      1
     0,      0
    -1,      1
     0,      0
     1,      0
     1,      0
    -1,     -1
     0,      0
    -1,     -1
    -1,     -1
    -1,     -1
    -1,      1
     0,      0
     1,      0
     1,      1
     1,      0
     0,      0
     1,      0
     1,      0
     1,      0
     0,      1
     0,      0
     0,     -1
     0,      0
     0,     -1
     1,      0
     1,      1
     1,      1
     1,      0
     1,      0
     0,     -1
     1,      0
     1,     -1
     2,     -1
     0,      0
     0,     -1
     0,      0
    -1,      1
     0,      0
     0,      0
    -1,      0
     0,     -1
     0,      0
     0,      0
     0,      0
     0,      1
    -1,      1
     0,      1
     1,     -1
     0,      0
    -1,      1
     0,      0
     0,      0
     0,      1
     1,      1
     0,      0
    -1,      0
     0,     -1
    -1,     -1
     0,     -1
     0,     -1
     2,     -2
     1,      0
     1,      1
     2,     -1
     1,      0
     0,      1
    -1,      1
    -1,      1
    -1,      1
    -1,      0
     0,      0
     0,      0
    -1,      0
    -1,      0
     0,      0
    -1,      0
    -2,     -1
    -1,     -1
     0,      1
     1,      1
     1,      1
     0,      0
    -1,     -1
    -1,      0
     0,      0
     1,      0
     1,      0
     1,      0
     1,      1
     0,      0
    -2,      0
    -1,      0
    -1,      0
     0,      1
     1,      1
     0,     -1
     0,     -1
     1,      1
     0,      0
     0,      0
     0,      1
    -1,      0
     0,     -1
     1,      0
     1,      1
     1,      0
    -1,      0
     0,      0
     1,      2
     1,      1
     0,     -1
     0,      0
     1,      0
     1,      0
     0,      0
    -1,      0
    -1,      0
    -1,      1
     0,      1
     0,      0
     0,      0
    -1,      0
     0,     -1
     0,     -1
     0,      1
     0,      1
    -1,     -1
     0,     -1
     0,     -1
     0,     -1
    -1,      0
     0,     -1
     1,     -2
     1,      0
     0,      0
    -1,      0
     0,      0
     0,      0
     0,      0
     1,      1
     1,      2
     0,      3
     0,      2
     1,      0
     0,      0
    -1,      1
     0,      0
    -1,     -1
    -1,      0
     0,      0
     0,      0
    -1,     -1
     0,      0
     0,      1
     0,      0
     0,      0
     0,      0
     0,      0
     0,      1
     0,      1
     0,      1
    -1,      1
    -1,      1
    -1,      0
    -1,     -1
     0,     -1
    -1,      0
    -1,      0
    -1,      0
     0,      1
     0,      0
     0,      0
    -1,     -1
    -1,     -1
    -1,     -1
     0,      1
     0,      1
     0,      1
    -1,      1
    -1,      1
     0,     -1
    -2,     -1
    -1,      0
     1,      0
     0,     -1
     0,      0
     1,      1
     1,      0
    -2,      1
    -2,      1
    -1,      0
     0,      0
     0,     -1
     0,     -1
     0,      2
     0,      1
     0,      0
     1,     -1
     1,      0
     1,      0
     0,     -1
    -1,     -1
     1,      0
     1,     -1
    -1,      0
    -2,     -1
    -1,     -1
     0,     -1
     0,      0
     0,     -1
     0,      1
     0,      1
    -1,      0
    -1,      1
     0,      0
    -1,      0
     1,      0
     1,      0
     0,     -1
    -1,     -1
     0,     -1
     0,     -1
     0,      0
     0,      0
     1,      0
     1,      0
     1,      0
     1,      1
     1,      0
     1,     -1
     0,     -1
     0,     -1
     1,      0
     0,     -1
     0,      1
     1,      2
     1,      1
     0,      0
     0,      0
     0,     -1
    -1,      0
     0,     -1
     0,      1
    -1,      1
     0,      1
     0,      1
     0,     -1
     0,      0
     1,      0
     0,      0
     0,      1
     1,      0
     0,     -1
    -1,      0
    -2,      1
    -1,      0
     0,      0
     0,      0
     0,      0
     0,      1
    -1,      0
    -1,      0
    -1,      0
     0,      0
     1,      0
     1,      0
     0,      0
     1,      0
     0,     -1
     0,      0
     1,      0
     1,     -1
     1,     -1
     1,      0
     0,      0
     1,      0
     0,      0
     0,      0
    -1,     -1
    -1,     -1
     0,     -1
     0,      0
     0,      0
     1,      0
     1,     -1
     0,     -1
    -2,      0
    -1,     -1
     0,      0
     1,      0
     0,      0
    -1,     -1
    -1,     -1
    -1,      0
     0,     -1
     0,     -1
     1,      0
     0,     -1
    -1,     -1
    -1,      0
     0,     -1
    -1,      0
    -1,      0
     0,      0
     0,     -1
     1,     -1
     2,      0
     1,     -1
     0,     -1
     0,      0
     0,     -1
     0,     -2
     1,     -2
     1,     -1
     0,      0
     0,      0
     1,     -1
     0,      0
     1,      0
     0,      0
     0,      1
    -1,      0
     0,      0
     0,     -1
     0,      0
     1,      0
     2,      0
     2,      0
     1,      0
     1,      0
     0,      0
    -1,      0
     0,      1
     1,      0
     1,      0
     0,      0
     0,      0
     0,      0
    -1,      1
    -1,      1
     1,      0
    -1,      0
     1,     -1
     0,     -1
    -1,     -1
    -2,     -1
    -2,      0
     0,      0
     1,     -1
     1,      0
     0,      0
     0,      0
     0,      1
     0,      0
     1,      0
    -1,      0
    -1,      0
     1,      0
     1,     -1
     1,      0
     0,      1
     0,      0
     1,      0
     0,      1
     0,     -1
    -1,      0
     0,      0
     1,      0
     0,      0
     0,      1
    -1,      0
     0,      0
     0,     -1
     0,     -2
     0,     -1
    -1,      0
     0,      0
     0,      0
    -1,      0
     0,      0
     0,      0
     0,      1
     0,      1
     0,      0
     1,      0
     1,      1
     1,      0
     0,      0
    -1,      0
    -2,      0
    -1,      1
     0,      0
     0,     -1
     1,     -1
    -1,      0
     0,     -1
     1,      0
     1,      0
     0,      0
     0,     -1
     1,     -1
     1,     -1
     1,      0
     0,      0
     0,      0
     1,     -1
     0,      1
     0,      0
     0,     -1
     0,     -1
    -1,     -1
     0,     -1
     0,      1
     0,      1
     1,      1
     1,     -1
     1,     -2
     1,      0
     1,      0
     0,      0
     0,      0
     1,     -1
     0,     -1
     0,      0
     0,      0
     1,      0
     0,      0
     0,      0
    -1,     -1
    -1,     -1
    -1,      0
    -1,      0
     0,      0
     1,      0
     0,      1
     1,      1
     1,      1
    -1,      1
     0,      1
     0,      0
     1,     -1
     1,      0
     0,      1
     0,      1
     0,      0
     1,     -1
     1,      0
     0,     -1
     0,      0
     0,      0
    -1,     -1
    -1,     -1
     0,      1
    -1,      1
     0,     -1
     0,      0
     0,     -1
     1,      0
     2,      0
     0,      0
     0,     -1
    -1,      0
     1,      0
     0,      1
     0,      0
     1,      0
     0,      0
     1,      0
     0,      0
     0,     -1
     0,      0
    -1,     -1
     0,     -1
    -1,     -1
    -2,     -1
    -1,      0
     0,      0
     0,      0
     0,      1
    -1,      1
     0,      1
     1,      1
     1,      1
     0,      1
    -1,      0
    -2,      0
    -1,      1
     0,      0
     0,      1
     1,      0
     1,      1
    -1,      1
     0,      1
     2,      0
     1,     -1
     0,     -1
     0,     -1
     0,     -1
     0,     -1
     1,      0
     1,     -1
     1,      0
    -1,      0
    -1,      0
     0,      0
     0,     -1
     0,      0
     1,      1
     2,      0
     1,      0
     0,      0
     0,      0
     0,      0
     0,      0
     0,      0
    -1,      0
    -1,      0
     1,      0
     1,      0
     0,      0
     0,      0
     0,     -1
     0,      0
     1,     -1
     0,     -1
     1,      0
     1,      0
     1,      1
     2,      0
     1,     -1
     0,     -2
     0,     -1
    -1,      0
     0,      0
     2,      0
     2,      0
     1,      1
     1,      0
     1,      0
     1,      0
     0,      1
     0,      0
     0,     -1
     0,      0
     1,     -1
     0,      0
     0,      1
    -1,      0
    -1,     -1
    -1,      1
     0,      1
     0,      1
     0,      1
     1,      0
     0,      0
     0,     -1
     0,      0
     1,      0
    -1,      0
    -2,      0
    -1,      0
     0,      0
     0,     -1
    -2,      0
    -2,      1
    -1,      0
     1,      0
     0,      0
     1,      1
     0,     -1
     1,     -1
     0,     -1
     0,      0
    -1,      1
     0,      0
     0,      0
     0,      0
     0,      0
     0,      0
    -1,     -1
     0,     -1
     1,     -1
     0,      1
     0,      2
     0,      1
     0,      0
     1,      1
     1,      2
     0,      1
    -1,      0
     0,     -2
     0,     -2
    -1,     -1
    -1,      0
     0,      0
     0,      1
     0,      1
    -1,      1
     0,      0
     0,      0
    -1,     -1
     0,      0
     0,      1
     0,      0
     0,      0
     0,      0
     0,     -1
     0,      0
     0,      0
     2,      0
     1,      1
     0,      0
     0,      0
     0,      0
     0,      2
     0,      1
     0,      0
     0,     -1
    -1,     -1
     0,     -1
     1,     -1
     1,      0
     1,      1
    -1,     -1
    -1,      0
    -1,      0
    -1,     -1
     0,      0
     0,      0
    -1,     -1
    -1,      0
     0,      0
    -1,      0
     0,      1
     1,      1
     1,      0
     1,      1
     1,     -1
     0,      0
     0,      0
     1,      0
     1,      1
     1,      1
     0,      0
     0,     -1
     0,      0
     1,      1
     1,      1
     0,      0
     0,     -1
     0,     -1
     1,      0
     0,      1
     0,      0
    -1,      0
    -2,      0
    -1,      0
     1,      1
     0,      1
    -1,     -1
     0,      0
     0,      0
    -1,     -1
     0,     -1
     2,      0
     1,      0
     0,      0
    -1,      1
    -1,     -1
    -1,      0
    -1,      0
     0,      0
     0,      0
     0,      1
     0,     -1
     0,      1
     0,      1
     1,      0
     0,      1
    -1,      0
    -1,      0
     0,      1
     0,      0
     0,      0
     0,      1
    -1,      1
     0,      0
     1,      0
     0,      0
     0,      1
     1,      0
    -1,     -2
    -1,      0
     0,      0
     0,      0
    -1,      0
    -2,      0
    -1,      0
     0,      0
     0,      1
     0,      2
     0,      2
     0,      0
     0,      0
    -1,      0
    -1,      0
     0,     -1
     1,     -2
     1,     -1
    -1,      0
     0,      0
     1,     -1
     1,      0
    -1,      0
     0,      0
     0,      1
     0,      0
     0,      1
     1,      0
     0,      1
    -1,      0
    -2,      1
    -2,      1
    -1,      0
     0,      0
     1,      0
     1,      0
     0,      0
    -1,      1
     0,      0
    -1,      0
     0,      0
     1,      0
     0,     -1
     1,     -1
    -1,      0
    -1,      0
     0,      1
     0,      0
     1,      0
     1,      0
     0,      0
     0,      0
     0,      0
     0,      1
     0,      0
     1,     -1
     0,     -1
    -1,     -1
     0,     -2
     0,     -2
     1,      0
     1,      1
     0,      0
     0,     -1
     0,      0
     0,     -1
     0,     -2
     0,     -1
     0,     -1
     0,     -1
     0,      0
     1,      0
     0,      1
     1,      0
     0,      0
    -2,      0
    -1,      0
    -1,     -2
    -1,     -1
    -2,     -1
    -1,     -1
     1,     -1
     0,      0
    -1,      0
    -1,      2
     0,      2
     1,      0
     1,     -1
    -1,      1
    -1,      0
    -2,     -1
     0,     -1
     0,      1
    -1,      1
     1,      0
     0,     -1
    -1,      0
     0,      1
